projectId,projectName,projectType,state,district,constituency,cost,sanctionDate,expectedCompletionDate,progressPercentage,expenditurePercentage,implementingAgency,latitude,longitude,description,status,recommendationDate,workStartedDate
MPLAD-00127,School Toilet Block,School Toilet Block,Uttar Pradesh,Ghaziabad,Ghaziabad,12.6,2025-08-10,2026-02-10,100,94.9,District Rural Development Agency,28.61493,77.43368,Construction of a toilet block at government school premises in Ghaziabad.,COMPLETED,2025-07-15,2025-08-28
MPLAD-00128,Drinking Water Facility,Drinking Water Facility,Rajasthan,Jaipur,Jaipur Rural,11,2025-12-19,2026-08-13,100,96.3,Zilla Parishad,26.93458,75.7238,Installation of a drinking water supply point / hand pump cluster in Jaipur.,COMPLETED,2025-11-06,2025-12-30
MPLAD-00129,Community Hall,Community Hall,Maharashtra,Pune,Pune,30.1,2026-08-27,2027-02-02,5,2.2,District Rural Development Agency,18.51043,73.76396,Construction of a community hall for public gatherings and local events in Pune.,ONGOING,2026-07-17,2026-09-12
MPLAD-00130,Road Construction,Road Construction,Tamil Nadu,Coimbatore,Coimbatore,28.5,2025-04-28,2025-10-09,100,97.5,Public Works Department,11.11296,77.00524,Construction and strengthening of internal road connecting local ward in Coimbatore.,COMPLETED,2025-02-28,2025-06-03
MPLAD-00131,Public Park,Public Park,Maharashtra,Pune,Pune,15.1,2026-06-19,2026-12-22,40.6,45.2,Municipal Corporation,18.58135,73.85296,Development of a public park with seating and green cover in Pune.,ONGOING,2026-05-11,2026-07-25
MPLAD-00132,Community Hall,Community Hall,Bihar,Patna,Patna Sahib,29,2025-09-28,2026-06-09,100,99.1,District Rural Development Agency,25.53738,85.16054,Construction of a community hall for public gatherings and local events in Patna.,COMPLETED,2025-08-05,2025-10-18
MPLAD-00133,Health Sub-Centre,Health Sub-Centre,Rajasthan,Jaipur,Jaipur Rural,30.6,2026-05-10,2026-10-22,80.5,84.5,District Rural Development Agency,27.01171,75.83935,Construction of a primary health sub-centre building in Jaipur.,ONGOING,2026-03-20,2026-05-31
MPLAD-00134,Community Hall,Community Hall,Bihar,Patna,Patna Sahib,27.2,2026-02-14,2026-08-27,100,93.1,District Rural Development Agency,25.68978,85.24328,Construction of a community hall for public gatherings and local events in Patna.,COMPLETED,2026-01-11,2026-03-05
MPLAD-00135,School Toilet Block,School Toilet Block,Uttar Pradesh,Lucknow,Lucknow,18,2025-08-01,2026-01-18,34,40,Zilla Parishad,26.85035,80.9058,Construction of a toilet block at government school premises in Lucknow.,DELAYED,2025-07-02,2025-08-16
MPLAD-00136,Street Lighting,Street Lighting,Maharashtra,Pune,Pune,13.5,2026-06-22,2027-01-10,30,72,Public Works Department,18.51069,73.91601,Installation of solar street lighting along local roads in Pune.,ONGOING,2026-05-02,2026-07-07
MPLAD-00137,Drinking Water Facility,Drinking Water Facility,Tamil Nadu,Coimbatore,Coimbatore,22.5,2025-05-22,2026-02-05,62,70,Zilla Parishad,11.01671,77.04878,Installation of a drinking water supply point / hand pump cluster in Coimbatore.,ONGOING,2025-04-02,2025-06-27
MPLAD-00138,Anganwadi Building,Anganwadi Building,Madhya Pradesh,Bhopal,Bhopal,16.5,2025-07-10,2025-12-17,30,38,District Rural Development Agency,23.18503,77.49262,Construction of an anganwadi (childcare centre) building in Bhopal.,DELAYED,2025-06-12,2025-07-24
MPLAD-00139,School Infrastructure,School Infrastructure,Bihar,Patna,Patna Sahib,30,2026-03-08,2026-08-30,36,71,Public Works Department,25.52108,85.08038,Additional classroom and boundary wall construction at government school in Patna.,ONGOING,2026-01-25,2026-04-15
MPLAD-00140,Public Park,Public Park,Jharkhand,Ranchi,Ranchi,25,2026-02-17,2026-10-02,55,82,Municipal Corporation,23.29691,85.3496,Development of a public park with seating and green cover in Ranchi.,ONGOING,2026-01-20,2026-03-26
MPLAD-00141,Health Sub-Centre,Health Sub-Centre,Maharashtra,Nagpur,Nagpur,24.9,2025-06-15,2025-12-12,40,46,District Rural Development Agency,21.17981,78.98304,Construction of a primary health sub-centre building in Nagpur.,DELAYED,2025-05-16,2025-07-03
MPLAD-00142,Community Hall,Community Hall,Uttar Pradesh,Ghaziabad,Ghaziabad,48.4,2025-03-10,2025-11-05,32,85,Municipal Corporation,28.57733,77.45115,Construction of a community hall for public gatherings and local events in Ghaziabad.,DELAYED,2025-02-03,2025-04-01
MPLAD-00143,Community Centre,Community Hall,Uttar Pradesh,Ghaziabad,Ghaziabad,22,2025-10-27,2026-04-10,57.9,71.5,Municipal Corporation,28.59883,77.46015,"Construction of a community centre for public gatherings and local events in Ghaziabad, near the existing community hall project.",DELAYED,2025-09-25,2025-12-01
MPLAD-00144,Community Hall,Community Hall,Uttar Pradesh,Ghaziabad,Ghaziabad,20,2026-07-31,2027-01-11,20,31.5,District Rural Development Agency,28.55933,77.47115,Construction of a community hall for public gatherings and local events in Ghaziabad ward area.,ONGOING,2026-07-06,2026-09-07
MPLAD-00145,Road Construction,Road Construction,Rajasthan,Jaipur,Jaipur Rural,49,2025-02-14,2025-09-02,28,71,Public Works Department,26.88254,75.76201,Construction and strengthening of internal road connecting local ward in Jaipur.,DELAYED,2025-01-15,2025-03-04
MPLAD-00146,Drinking Water Facility,Drinking Water Facility,Assam,Guwahati,Guwahati,10.4,2025-01-20,2025-07-29,27,93,Public Health Engineering Department,26.17609,91.80451,Installation of a drinking water supply point / hand pump cluster in Guwahati.,DELAYED,2024-12-23,2025-02-04
MPLAD-00147,Anganwadi Building,Anganwadi Building,Madhya Pradesh,Bhopal,Bhopal,19.5,2025-02-01,2025-07-31,35,74,Zilla Parishad,23.18811,77.36208,Construction of an anganwadi (childcare centre) building in Bhopal.,DELAYED,2025-01-07,2025-02-13
MPLAD-00148,Health Sub-Centre,Health Sub-Centre,Maharashtra,Nagpur,Nagpur,27,2024-11-05,2025-05-24,22,58,District Rural Development Agency,21.22892,79.1644,Construction of a primary health sub-centre building in Nagpur.,DELAYED,2024-10-04,2024-11-25
MPLAD-00149,Road Construction,Road Construction,Bihar,Patna,Patna Sahib,33.5,2025-12-19,2026-09-01,100,95.8,Zilla Parishad,25.57793,85.1427,Construction and strengthening of internal road connecting local ward in Patna.,COMPLETED,2025-11-25,2025-12-29
MPLAD-00150,Health Sub-Centre,Health Sub-Centre,Uttar Pradesh,Ghaziabad,Ghaziabad,20.6,2026-06-09,2027-02-28,27,32.4,District Rural Development Agency,28.5929,77.38347,Construction of a primary health sub-centre building in Ghaziabad.,ONGOING,2026-05-09,2026-07-12
MPLAD-00151,Public Park,Public Park,Bihar,Patna,Patna Sahib,14.3,2025-07-25,2026-03-24,100,93.2,Municipal Corporation,25.65809,85.1908,Development of a public park with seating and green cover in Patna.,COMPLETED,2025-06-08,2025-08-09
MPLAD-00152,Road Construction,Road Construction,Maharashtra,Pune,Pune,31.4,2025-10-01,2026-06-05,100,97.6,Zilla Parishad,18.4372,73.93669,Construction and strengthening of internal road connecting local ward in Pune.,COMPLETED,2025-08-20,2025-10-14
MPLAD-00153,Community Hall,Community Hall,Bihar,Patna,Patna Sahib,27.1,2025-05-11,2025-11-07,100,97.4,District Rural Development Agency,25.50642,85.14512,Construction of a community hall for public gatherings and local events in Patna.,COMPLETED,2025-03-26,2025-05-27
MPLAD-00154,School Infrastructure,School Infrastructure,Maharashtra,Pune,Pune,16.9,2025-08-13,2026-04-11,100,96.4,District Rural Development Agency,18.61493,73.94985,Additional classroom and boundary wall construction at government school in Pune.,COMPLETED,2025-07-03,2025-09-15
MPLAD-00155,Public Park,Public Park,Tamil Nadu,Coimbatore,Coimbatore,19.2,2025-08-09,2026-02-12,100,95,Municipal Corporation,11.07198,76.90544,Development of a public park with seating and green cover in Coimbatore.,COMPLETED,2025-06-16,2025-09-02
MPLAD-00156,School Infrastructure,School Infrastructure,Rajasthan,Jaipur,Jaipur Rural,19.1,2026-09-17,2027-05-02,5,10.5,Public Works Department,26.96563,75.88926,Additional classroom and boundary wall construction at government school in Jaipur.,ONGOING,2026-07-23,2026-10-03
MPLAD-00157,Public Park,Public Park,Uttar Pradesh,Lucknow,Lucknow,13,2026-06-18,2026-12-27,42.5,39.4,Municipal Corporation,26.88967,81.0554,Development of a public park with seating and green cover in Lucknow.,ONGOING,2026-05-06,2026-07-02
MPLAD-00158,School Infrastructure,School Infrastructure,Madhya Pradesh,Bhopal,Bhopal,17.5,2026-02-15,2026-07-30,100,92,Public Works Department,23.21603,77.42655,Additional classroom and boundary wall construction at government school in Bhopal.,COMPLETED,2025-12-31,2026-03-02
MPLAD-00159,Street Lighting,Street Lighting,Jharkhand,Ranchi,Ranchi,8,2026-01-19,2026-09-19,92.9,97.7,Municipal Corporation,23.42024,85.36204,Installation of solar street lighting along local roads in Ranchi.,ONGOING,2025-12-06,2026-02-10
MPLAD-00160,Community Hall,Community Hall,Assam,Guwahati,Guwahati,20.4,2025-04-10,2025-09-26,100,96.9,District Rural Development Agency,26.24039,91.61667,Construction of a community hall for public gatherings and local events in Guwahati.,COMPLETED,2025-03-17,2025-05-18
MPLAD-00161,Road Construction,Road Construction,Bihar,Patna,Patna Sahib,32.9,2025-07-08,2026-01-23,100,97,Zilla Parishad,25.6647,85.13442,Construction and strengthening of internal road connecting local ward in Patna.,COMPLETED,2025-05-18,2025-08-03
MPLAD-00162,Public Park,Public Park,Uttar Pradesh,Ghaziabad,Ghaziabad,13.9,2026-04-22,2026-09-23,86.1,85.6,Municipal Corporation,28.73277,77.47823,Development of a public park with seating and green cover in Ghaziabad.,ONGOING,2026-03-09,2026-05-11
MPLAD-00163,Drinking Water Facility,Drinking Water Facility,Madhya Pradesh,Bhopal,Bhopal,12.6,2025-08-24,2026-04-21,100,92.2,Zilla Parishad,23.16773,77.33719,Installation of a drinking water supply point / hand pump cluster in Bhopal.,COMPLETED,2025-07-14,2025-09-22
